step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.519094467163086,5.468870639801025,70.83643341064453,3.985781034011526
4,0,3,3457.8408438364663,589.5375878016154,-23.77390702565511,5.071306684372229
7,1,0,18305.817001342773,-1297.5734252929688,-40.70658461252848,5.2978070513199444
10,1,3,34011.21346028646,-1652.9295247395833,-61.56511433919271,4.73413773344006
13,2,0,883482.1875,10865.109700520834,-62.57129796346029,4.957480136494419
16,2,3,407559.7135416667,-6308.016927083333,-62.29314676920573,4.780462294718572
19,3,0,30838.865234375,676.0042012532552,-62.787034352620445,5.206692479834927
22,3,3,4181.127502441406,63.6900520324707,-62.886600494384766,5.134824437028097
25,4,0,360.34063720703125,114.77661689122517,-62.95843251546224,4.701139137046366
28,4,3,25.181238810221355,238.65289815266928,-63.0286496480306,5.115158623596689
31,5,0,-34.41473897298177,195.5300089518229,-63.088174184163414,4.366932704865874
34,5,3,-46.23419698079427,195.72479248046875,-63.153316497802734,5.195716110872269
37,6,0,-54.75917053222656,199.88543701171875,-63.21500015258789,5.279606039978105
40,6,3,-47.57096862792969,207.14662170410156,-63.27581532796224,5.154448419071567
43,7,0,-45.967508951822914,207.2765858968099,-63.33398310343424,5.178526434451622
46,7,3,-66.18102518717448,198.00157674153647,-63.38405100504557,4.849479718607168
49,8,0,-71.59279378255208,199.39422098795572,-63.431358337402344,4.9722112896039645
52,8,3,-80.60471598307292,195.5496622721354,-63.47170766194662,4.982863792532548
55,9,0,-93.40636189778645,200.96756490071616,-63.512939453125,5.142081501855294
58,9,3,-72.6546147664388,203.44282023111978,-63.55030186971029,5.224590209004316
61,10,0,-80.4910380045573,208.02953084309897,-63.57852554321289,4.8845006963222515
64,10,3,-78.5911356608073,204.6812998453776,-63.60675938924154,5.361557801787548
67,11,0,-72.6436055501302,205.18797302246094,-63.63256963094076,5.370660021463068
70,11,3,-82.57368469238281,205.9456787109375,-63.651611328125,5.2240731073080715
73,12,0,-88.7824935913086,204.26077270507812,-63.671000162760414,5.229486023043396
76,12,3,-84.88085428873698,207.33455403645834,-63.68611145019531,5.512442791703644
79,13,0,-86.98654429117839,205.70420837402344,-63.699581146240234,5.197107699419051
82,13,3,-89.15154266357422,204.97753397623697,-63.711968739827476,4.976197558840787
85,14,0,-88.85037485758464,212.49935913085938,-63.72040303548177,5.074570092498601
88,14,3,-95.82658386230469,206.5019989013672,-63.72586441040039,5.1125584647757725
91,15,0,-106.67416890462239,197.5935262044271,-63.730786641438804,5.459755894984361
94,15,3,-102.87169647216797,199.71148681640625,-63.73452123006185,4.984924945457604
97,16,0,-106.43679300944011,206.72123209635416,-63.739298502604164,5.275996499787514
100,16,3,-98.72545623779297,204.56370544433594,-63.74039077758789,4.849855098106115
103,17,0,-104.31310780843098,198.62764994303384,-63.74209849039713,5.313199224264272
106,17,3,-103.17291514078777,205.287841796875,-63.74239985148112,5.304426394155352
109,18,0,-100.8262227376302,199.3966522216797,-63.74290466308594,5.484951829141504
112,18,3,-109.46879577636719,202.7801055908203,-63.74128723144531,4.943023335208733
115,19,0,-107.16881306966145,204.64596557617188,-63.73739496866862,5.021432932325079
118,19,3,-109.1692606608073,197.76206970214844,-63.72974522908529,4.963456268982241
121,20,0,-102.09218851725261,203.41043599446616,-63.72687657674154,4.840687730604375
124,20,3,-114.66438547770183,200.78341166178384,-63.7149912516276,4.83363362510823
127,21,0,-101.42088826497395,211.24613444010416,-63.70308176676432,5.412638317239879
130,21,3,-108.37118275960286,201.13675944010416,-63.68403879801432,4.9064483993897
133,22,0,-110.22840118408203,207.3776397705078,-63.65598678588867,4.988650548495934
136,22,3,-116.38641611735027,199.95643107096353,-63.61699676513672,4.913461875900086
139,23,0,-106.89349873860677,206.30936177571616,-63.54265340169271,4.807018659683073
142,23,3,-108.06734975179036,208.35324096679688,-63.39554087320963,5.13787923098424
145,24,0,-106.45413208007812,212.50399271647134,-62.92405319213867,5.0369599829585034
148,24,3,-109.67564137776692,189.89533487955728,-60.57523981730143,4.657511444680271
151,25,0,-104.75753275553386,176.86318969726562,-56.35395431518555,4.500306872334218
154,25,3,-92.83411661783855,164.02324422200522,-49.86098988850912,5.037476858511547
157,26,0,-58.157981872558594,132.7982915242513,-39.09256108601888,5.081978829056009
160,26,3,-37.481268564860024,83.62869517008464,-33.821495056152344,5.330891080241608
163,27,0,7.294392903645833,41.975393295288086,-31.154956817626953,5.244077266214927
166,27,3,33.80316925048828,15.906031926472982,-29.47655487060547,5.611431760960134
169,28,0,335.3683039347331,-15.498005191485086,-24.03243637084961,4.846700095296988
172,28,3,93.12088139851888,61.09798494974772,-28.471168518066406,5.053412792416296
175,29,0,15.630911509195963,54.77558898925781,-29.942733764648438,5.155848531397019
178,29,3,-15.838815689086914,52.85579299926758,-30.249322255452473,5.558493659843399
181,30,0,-15.493905385335287,70.5200703938802,-30.153003692626953,5.069906132525368
184,30,3,-24.96993128458659,75.43414815266927,-29.179906209309895,5.258659066226738
