step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,1,21,9.539856910705566,0.019569851458072662,166.6648406982422,4.4540348328297945
2,1,22,9.417386054992676,0.060557447373867035,158.62057495117188,4.422373446907013
3,1,23,9.234352111816406,0.15769541263580322,148.90216064453125,4.454560635393771
4,1,24,8.950355529785156,0.3510962128639221,138.40469360351562,4.173616357224642
5,1,25,8.495404243469238,0.7226343154907227,127.91700744628906,4.729235598072698
6,1,26,7.743163585662842,1.4367631673812866,117.72270202636719,5.2530819429782865
7,1,27,6.424958229064941,2.75630259513855,108.11522674560547,4.895229513929634
8,1,28,4.118537902832031,5.125138282775879,99.31167602539062,4.853175842621946
