step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.512138366699219,0.012951582670211792,4.170649528503418,1.6031734043455448
2,1,0,9.35032844543457,0.04203237593173981,4.014107704162598,1.5974785802514806
3,2,0,9.101217269897461,0.0843426063656807,3.8379709720611572,1.5561431777470205
4,3,0,8.77065372467041,0.17183108627796173,3.65828800201416,1.3871084739978095
5,4,0,8.47084903717041,0.3186868727207184,3.4855945110321045,1.3634350325500026
6,5,0,7.843688011169434,0.5129818916320801,3.347811460494995,1.5874380437533737
7,6,0,6.532342910766602,0.6896039843559265,3.2474260330200195,1.6592118930954423
8,7,0,5.154770851135254,0.6749535202980042,3.1919639110565186,1.710005352915064
9,8,0,4.202714920043945,-0.20053131878376007,3.1325550079345703,1.7553064195887478
10,9,0,3.2635741233825684,-2.1215860843658447,3.038670539855957,1.7903531991685278
11,10,0,2.2937936782836914,-4.100749492645264,2.908414840698242,1.7958615646768992
12,11,0,1.8295483589172363,-5.1886515617370605,2.765089988708496,1.7958615646769018
13,12,0,1.2435078620910645,-4.721590518951416,2.6216182708740234,1.7887358511477398
14,13,0,-0.32284724712371826,-2.8082408905029297,2.5069997310638428,1.7877248950885225
15,14,0,-2.8866941928863525,-0.0863494873046875,2.4435713291168213,1.7945174786553977
