step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.528800964355469,0.014637182466685772,170.32872009277344,4.600476151216256
4,1,1,9.192194302876791,0.19809663792451224,153.10393269856772,4.127121850590843
7,3,0,7.557060718536377,1.617020030816396,123.97134399414062,5.295792926787403
10,4,1,-0.0635358492533366,9.102948506673178,98.9275131225586,4.751262528035148
13,6,0,-21.97490628560384,35.01089223225912,80.49640146891277,4.933548366117322
16,7,1,-33.17794291178385,51.35459899902344,74.57341766357422,5.336501957399109
19,9,0,-35.379625956217446,45.43025588989258,73.15155792236328,4.813263636496013
22,10,1,-38.36687469482422,51.34937032063802,68.4744364420573,4.651302680306933
25,12,0,-42.662054697672524,60.074310302734375,63.77025604248047,4.649023342026804
28,13,1,-46.11328379313151,65.50928115844727,59.70428721110026,4.858966996055654
31,15,0,-50.295921325683594,72.73720677693684,53.219017028808594,4.892662846287572
34,16,1,-53.195657094319664,75.69664001464844,45.51657231648763,4.937551921715474
37,18,0,-59.00550206502279,84.48844146728516,37.149407704671226,5.176935676108255
40,19,1,-64.04440816243489,95.60122934977214,26.854233423868816,4.355588713366406
43,21,0,-69.48892211914062,98.19155883789062,16.001101811726887,5.170923062946942
46,22,1,-75.75450897216797,106.59309387207031,5.774792035420735,5.066930889039824
49,24,0,-79.2929916381836,118.79222615559895,-4.279301047325134,4.7164214542290255
52,25,1,-84.48158264160156,125.78602091471355,-13.258955319722494,5.015025534368886
55,27,0,-89.21916961669922,131.26907348632812,-22.13987668355306,4.996889828020803
58,28,1,-94.17301940917969,134.09388224283853,-30.50268300374349,5.534471833004187
61,30,0,-95.42840830485027,145.62168629964194,-38.91124725341797,5.170354213149287
64,31,1,-98.44718933105469,155.46607462565103,-46.24224090576172,4.73825444823688
67,33,0,-104.25028737386067,158.18835957845053,-53.629390716552734,4.700895790270635
70,34,1,-106.46399434407552,160.32073465983072,-59.87595748901367,4.794471585143401
