step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.54398250579834,0.024950359016656876,170.30010986328125,4.421468792152131
4,1,1,9.199485460917154,0.19243025283018747,154.02394104003906,5.3395004795872945
7,3,0,7.632301330566406,1.5163994431495667,125.23494466145833,5.0092439168617
10,4,1,0.5740977923075358,8.840254783630371,100.14651997884114,4.906917940236452
13,6,0,-20.299144109090168,34.28762118021647,81.55091349283855,4.9064502534654935
16,7,1,-29.409276326497395,50.01472600301107,75.9599609375,5.032007344204842
19,9,0,-33.23280461629232,52.30819829305013,74.62369537353516,4.951141584279406
22,10,1,-36.25947697957357,57.25809224446615,74.03020985921223,5.106023067563983
25,12,0,-38.89062627156576,56.85921986897787,73.12964121500652,5.110489837921811
28,13,1,-40.308467864990234,57.08551025390625,67.4841791788737,4.894166275274291
31,15,0,-45.27264277140299,69.56136830647786,58.23141606648763,5.129471946179637
34,16,1,-51.30490493774414,76.46439615885417,49.144571940104164,5.4452671197967275
37,18,0,-54.19245274861654,76.79768498738606,39.971876780192055,5.081577123159988
40,19,1,-61.476434071858726,88.8335189819336,29.232837041219074,5.175807575820834
43,21,0,-68.4809087117513,101.2275161743164,18.640212059020996,5.635838495304076
46,22,1,-73.96271260579427,110.29303741455078,9.562883536020914,5.164225901249215
49,24,0,-76.80657958984375,110.14764404296875,1.3952961762746174,5.222328358794393
52,25,1,-80.2071304321289,119.59114583333333,-6.840441385904948,5.164120854866717
55,27,0,-85.75040181477864,129.43378194173178,-15.019592920939127,4.966283701151885
58,28,1,-87.84000651041667,125.82559204101562,-23.090442021687824,5.14077178768191
61,30,0,-93.82760111490886,142.8560536702474,-32.1543877919515,4.651658958261648
64,31,1,-97.73732248942058,146.1546376546224,-38.86141713460287,4.973997067995774
67,33,0,-103.21752675374348,143.2331339518229,-45.71967442830404,4.785278619524509
70,34,1,-102.1564458211263,157.67406717936197,-53.775458017985024,4.9193088174078605
73,36,0,-108.21070607503255,166.7811279296875,-60.39055252075195,5.330033533208583
76,37,1,-111.01642100016277,165.89143880208334,-65.51937103271484,5.232937727666802
79,39,0,-112.69358571370442,177.19845072428384,-70.27310434977214,5.134952485519912
82,40,1,-115.3948745727539,176.02849324544272,-75.59918975830078,5.452029425426276
85,42,0,-119.59671529134114,173.98922220865884,-80.02041117350261,4.879002879650503
88,43,1,-120.7892328898112,187.3329111735026,-85.56448872884114,5.218154918792472
91,45,0,-123.84700520833333,186.75312296549478,-90.69815572102864,5.102996225323821
94,46,1,-126.90518188476562,195.0868377685547,-95.46225229899089,4.967673326709326
97,48,0,-125.68701680501302,196.46723429361978,-99.52560424804688,4.908825036388571
100,49,1,-130.53311665852866,199.63882446289062,-103.63510386149089,5.405252026376388
103,51,0,-133.3210245768229,202.31430053710938,-107.6349589029948,4.978851144697125
106,52,1,-133.39441935221353,204.85295613606772,-111.2292709350586,5.232130329351155
109,54,0,-135.35340372721353,209.8036346435547,-114.30672709147136,4.662295264508818
112,55,1,-136.25317891438803,213.87598673502603,-117.15308125813802,5.213871405907951
