step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.519563674926758,0.02848430536687374,161.02232360839844,5.080531740542849
11,0,10,3.7815478324890135,10.269254326820374,149.53524780273438,4.943280064627897
21,0,20,-19.89157772064209,24.761590003967285,137.8034439086914,5.136420837778
31,0,30,-25.929310035705566,30.339797973632812,131.66827392578125,4.830668367900481
41,0,40,-28.856404495239257,35.89540481567383,126.04362487792969,5.173719945734916
51,0,50,-30.3278902053833,33.16928195953369,120.5704460144043,4.829490628074494
61,1,2,-32.97071475982666,37.38131332397461,112.56994247436523,4.955476564033862
71,1,12,-36.66988182067871,47.2080078125,103.99843978881836,4.984667998752561
81,1,22,-39.20735130310059,51.094350814819336,95.69346237182617,5.014151164709585
91,1,32,-44.33811531066895,51.3243522644043,86.36511611938477,5.227473717853375
101,1,42,-49.623107528686525,59.1612434387207,75.57659912109375,5.295009510685819
