step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.526655197143555,0.017778005450963974,172.7413787841797,4.406911376512266
11,0,10,5.075462079048156,6.72664076089859,159.4288787841797,4.556168977796836
21,0,20,-19.488091278076173,26.25747299194336,145.4468536376953,5.071855511976343
31,0,30,-24.762562370300294,27.993711471557617,141.7123260498047,4.72066144105558
41,0,40,-25.856567573547363,26.605098724365234,138.69134521484375,4.702791707846234
51,0,50,-25.254444313049316,26.99315071105957,133.94934844970703,4.8986464804566925
61,1,2,-27.108130836486815,32.31903266906738,127.11714935302734,5.0928673814599685
71,1,12,-29.229958534240723,31.882871627807617,119.13661575317383,5.051826457822827
81,1,22,-33.611922073364255,42.00510025024414,110.22089385986328,5.110467872843035
91,1,32,-37.328385543823245,47.245521545410156,101.35328674316406,4.7665291550085875
