step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.4954195022583,0.029180703684687614,36.32799530029297,2.0522966096123008
6,2,1,8.720449924468994,0.9511948823928833,34.882080078125,1.9234010298342457
11,5,0,0.32390198707580564,12.77093505859375,33.509124755859375,1.9646663323964697
16,7,1,-8.481949996948241,9.87416934967041,33.46723175048828,1.4799914842218782
21,10,0,-7.517545938491821,8.629850387573242,33.39775466918945,1.645489932474562
26,12,1,-9.803996086120605,7.634932518005371,33.09990692138672,1.7353341708165515
31,15,0,-12.501674461364747,8.926958084106445,32.79822540283203,2.2458710241848014
36,17,1,-13.864753723144531,9.288604736328125,32.684791564941406,2.2425906985094954
41,20,0,-15.065470886230468,9.776111602783203,32.51966857910156,2.3301722329064094
46,22,1,-14.988528060913087,9.487071990966797,32.320472717285156,2.3737889491493025
51,25,0,-14.291253471374512,9.720446586608887,32.12046813964844,2.710735019907516
56,27,1,-13.979594230651855,7.817295551300049,32.0239143371582,2.606768460981217
61,30,0,-13.178192901611329,7.486568927764893,31.861465454101562,2.4225064880603893
66,32,1,-13.017350387573241,8.327812194824219,31.708818435668945,2.4224950616065795
71,35,0,-13.211761283874512,7.348204612731934,31.71968650817871,2.1679169063137227
76,37,1,-13.273209571838379,6.529531955718994,31.794776916503906,2.535943546522139
81,40,0,-13.775575828552245,5.578921794891357,31.865877151489258,2.364380476802216
86,42,1,-14.609660148620605,7.4167585372924805,31.843870162963867,2.6422948846148016
91,45,0,-15.132687377929688,7.323363304138184,31.96669578552246,2.577622663447161
96,47,1,-14.664124679565429,6.216372489929199,32.0680046081543,2.680486545600421
101,50,0,-14.397684288024902,5.1078643798828125,32.05397033691406,2.6652734118270427
106,52,1,-14.34213809967041,0.5372487902641296,31.92928695678711,2.3655317743223554
111,55,0,-14.9090425491333,11.223679542541504,31.190399169921875,2.3983792926629537
116,57,1,-14.862517738342286,7.822373390197754,31.47195816040039,2.5095562644015246
121,60,0,-15.202130126953126,7.0878801345825195,31.856884002685547,2.36483778592568
126,62,1,-14.520051383972168,5.195674419403076,32.25698471069336,2.7828843013316504
131,65,0,-14.898662567138672,4.36480712890625,32.444419860839844,2.5663901032591228
136,67,1,-15.207131004333496,5.783369064331055,32.424400329589844,2.304050343754339
141,70,0,-15.03715476989746,6.029480934143066,32.467071533203125,2.6013113417576386
146,72,1,-14.926087188720704,2.928246259689331,32.57456970214844,2.1939661458646933
151,75,0,-14.785801315307618,7.523548126220703,32.352481842041016,2.349351700272573
156,77,1,-14.712576866149902,4.457757949829102,32.5700569152832,2.244540139588688
161,80,0,-14.815920448303222,4.692371845245361,32.614437103271484,2.204982508017223
166,82,1,-14.812316703796387,5.168501853942871,32.653709411621094,2.5432409714554325
171,85,0,-14.664065742492676,3.618320941925049,32.680484771728516,2.431359710397843
176,87,1,-14.888825035095214,4.924931526184082,32.53084945678711,2.329838472618233
181,90,0,-14.92281265258789,6.436668395996094,32.40878677368164,2.6518195047194446
186,92,1,-14.608442878723144,6.752716541290283,32.55390930175781,2.428736877708835
191,95,0,-13.950700950622558,3.5223305225372314,32.82477569580078,2.1911111992414627
196,97,1,-14.353514671325684,3.272179365158081,32.80832290649414,2.365397087540748
201,100,0,-14.592623901367187,3.4302151203155518,32.6473388671875,2.2682249881472476
206,102,1,-14.815437698364258,7.53393030166626,32.39543914794922,2.618836919393365
211,105,0,-14.225325202941894,5.352803707122803,32.6888542175293,2.429426160754397
216,107,1,-13.968445014953613,2.690246343612671,32.93798065185547,2.435994251872025
221,110,0,-13.52332420349121,3.067258596420288,32.84446716308594,2.434448530552381
226,112,1,-14.144401168823242,4.449174880981445,32.6326789855957,2.101443207510571
231,115,0,-14.369916534423828,4.17293119430542,32.58781814575195,2.680903316427072
236,117,1,-14.297718620300293,5.510568141937256,32.54525375366211,2.497376778208914
241,120,0,-14.307761001586915,2.741758108139038,32.733680725097656,2.4179874689707015
246,122,1,-14.839168548583984,3.3074288368225098,32.5530891418457,2.450350031865659
251,125,0,-14.919398498535156,7.56856632232666,32.178829193115234,2.4190363823675742
256,127,1,-14.486395835876465,4.285187244415283,32.356048583984375,2.755110466795257
261,130,0,-14.561079597473144,6.551084995269775,32.32316970825195,2.4477391997372377
266,132,1,-13.962552261352538,4.957970142364502,32.61564636230469,2.5096987258522647
271,135,0,-14.089894676208496,4.081949710845947,32.77262878417969,2.3051159922099957
276,137,1,-13.89596939086914,4.234818458557129,32.74433135986328,2.5140222974610005
281,140,0,-13.9763614654541,2.592989921569824,32.697837829589844,2.4060835574817503
286,142,1,-14.08147964477539,4.659370422363281,32.4095344543457,2.4298746093072427
291,145,0,-14.273717880249023,5.200109958648682,32.345916748046875,2.4053998771130463
296,147,1,-14.563196182250977,4.884085655212402,32.438350677490234,2.5436839546347025
301,150,0,-14.25983715057373,6.3408989906311035,32.538238525390625,2.1847602914168007
306,152,1,-13.677713203430176,3.988264560699463,32.76104736328125,2.4906402512066776
311,155,0,-14.015491104125976,4.131054878234863,32.76154708862305,2.5893206353751355
316,157,1,-13.644555473327637,3.5532045364379883,32.640865325927734,2.3564863584510385
321,160,0,-14.01497287750244,5.489681720733643,32.44832229614258,2.161846213355565
326,162,1,-13.995291328430175,4.548401832580566,32.503456115722656,2.5463335486784606
331,165,0,-14.100472831726075,4.741615295410156,32.493919372558594,2.704533961143235
336,167,1,-14.332383346557616,4.818342685699463,32.4671630859375,2.74341537947241
341,170,0,-14.042603874206543,5.833071231842041,32.4273681640625,2.4193131551134304
346,172,1,-14.04238452911377,2.7059695720672607,32.583255767822266,2.698351571869275
351,175,0,-13.923232078552246,4.372570991516113,32.3624382019043,2.5888175205144037
356,177,1,-14.05515251159668,5.474710464477539,32.285118103027344,2.3635848610540995
361,180,0,-14.155911636352538,4.350768566131592,32.453163146972656,2.7674583675659337
366,182,1,-13.888639068603515,3.886648654937744,32.54072570800781,2.267306255402658
371,185,0,-13.84445743560791,3.688823699951172,32.604835510253906,2.6952706617927076
376,187,1,-14.241321754455566,4.018673419952393,32.56600570678711,2.359930617314335
381,190,0,-14.16303367614746,5.618996620178223,32.48992919921875,2.5111953617529834
386,192,1,-14.161645317077637,4.487051010131836,32.5161018371582,2.475700747612084
391,195,0,-14.116187286376952,4.764301300048828,32.49129867553711,2.700999682477728
396,197,1,-14.104409790039062,2.65236759185791,32.42154312133789,2.484849144051372
401,200,0,-14.704208374023438,5.230635166168213,31.9140625,2.6346468769754487
406,202,1,-15.016694641113281,5.103179454803467,31.65660858154297,2.254379444422609
411,205,0,-15.289923286437988,7.64911413192749,31.513134002685547,2.4174482603050977
416,207,1,-14.790925788879395,7.132324695587158,31.840871810913086,2.583653745462578
421,210,0,-14.309288024902344,5.408415794372559,32.370338439941406,2.705264229663744
426,212,1,-14.02699966430664,3.5771021842956543,32.712100982666016,2.290540316286207
431,215,0,-13.455185890197754,4.682775497436523,32.76588821411133,2.79673427918228
436,217,1,-13.638557243347169,3.504805564880371,32.764320373535156,2.3823625641186474
441,220,0,-13.76120376586914,4.101864814758301,32.61240005493164,2.4164162906570237
446,222,1,-14.039485740661622,4.960169315338135,32.4617805480957,2.5766421368449954
451,225,0,-13.968287467956543,3.8478198051452637,32.50104522705078,2.3055048462253582
456,227,1,-13.987530326843261,4.355336666107178,32.444297790527344,2.6407378992034554
461,230,0,-14.137012672424316,4.897347450256348,32.43531036376953,2.5628615883378614
466,232,1,-14.01801929473877,4.184162139892578,32.52294158935547,2.6910432069217833
471,235,0,-14.31006736755371,4.0753092765808105,32.57147216796875,2.4606811229798824
476,237,1,-14.259113883972168,3.553312063217163,32.50727462768555,2.283445000379782
481,240,0,-14.839532470703125,4.152639389038086,32.27581787109375,2.6546365382240946
486,242,1,-14.966403770446778,7.338402271270752,32.082298278808594,2.535279973695559
491,245,0,-14.317622566223145,3.673706531524658,32.42810821533203,2.6187914576771103
496,247,1,-14.816674613952637,4.762732982635498,32.42592239379883,2.5446271315492126
501,250,0,-14.160053062438966,5.038741111755371,32.50863265991211,2.3071922280174233
506,252,1,-14.29653034210205,4.469861030578613,32.68251419067383,2.5146409047930227
