step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.506791114807129,4.669722557067871,12.922176361083984,2.545544016461849
4,0,3,362.44416125615436,560.6463219324747,0.6599489053090414,3.077340613209135
7,0,6,33232.9697672526,327.51913197835285,11.073027928670248,2.303659151069985
10,0,9,562867.123046875,1840.8873901367188,11.60045305887858,2.0533233244431024
13,0,12,1181188.9231770833,141.24768575032553,10.895059903462728,2.864940038089331
16,0,15,8764.727783203125,-100.69876098632812,9.799599329630533,2.922965882128853
19,0,18,2344.5101318359375,-2.142313003540039,9.09657351175944,2.6575199632228563
