step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.515544891357422,0.028434373438358307,168.2218017578125,4.471488090117713
4,1,1,9.112839698791504,0.30395494401454926,149.03734842936197,4.649400562420822
7,3,0,6.923472722371419,2.56548802057902,116.70525360107422,4.602605045104407
10,4,1,-4.212294101715088,14.685292402903238,90.53646850585938,4.718763607332137
13,6,0,-30.00222651163737,48.996002197265625,73.04775746663411,4.966557227271034
16,7,1,-34.53026580810547,54.8841438293457,69.07632446289062,5.352208356543039
19,9,0,-38.143707275390625,56.25296274820963,69.03987630208333,5.168932227302708
22,10,1,-39.92067337036133,56.99822107950846,69.81451924641927,5.0534644551206025
25,12,0,-41.03943634033203,55.49821345011393,68.23699951171875,5.627839834888081
28,13,1,-41.498209635416664,61.2896359761556,63.21809641520182,5.027523167045084
31,15,0,-46.223924001057945,67.30981953938802,56.281691233317055,5.708824126542507
34,16,1,-51.93204243977865,74.50499216715495,47.36147816975912,5.441324651182815
37,18,0,-56.36954116821289,76.82412719726562,38.63150278727213,4.97063256116924
40,19,1,-61.669307708740234,91.38210042317708,28.519508361816406,4.688713133813853
43,21,0,-68.56834920247395,101.3052241007487,18.21035385131836,5.273327903929381
46,22,1,-73.02349344889323,102.94256591796875,7.9412948290507,4.966249577661742
49,24,0,-77.30718485514323,115.28904978434245,-2.1863717436790466,4.70626677751634
52,25,1,-82.1218770345052,121.15862274169922,-10.148544947306315,4.942731226902203
55,27,0,-86.55591074625652,131.8954315185547,-18.398818969726562,5.3328949750893555
58,28,1,-90.8169937133789,130.02869669596353,-26.369839350382488,5.450465753035192
61,30,0,-95.43834431966145,144.06993611653647,-34.51909510294596,5.331313304984671
64,31,1,-97.79142506917317,150.66468302408853,-41.407126108805336,5.447899887893427
67,33,0,-101.48808288574219,151.96780395507812,-47.86947377522787,4.959121555301714
70,34,1,-107.23682403564453,156.0972442626953,-54.86425272623698,4.943340839735385
73,36,0,-110.06396993001302,154.76334126790366,-61.74877802530924,5.177468259309111
76,37,1,-108.83862050374348,165.8240203857422,-69.26246388753255,5.484884080080833
79,39,0,-116.89042154947917,182.33362833658853,-76.39635467529297,5.342080353314402
82,40,1,-119.78840891520183,179.92493184407553,-81.50470225016277,4.895195360280579
85,42,0,-120.19874827067058,184.7705841064453,-86.8292236328125,5.567065200400084
88,43,1,-124.46133422851562,191.3244883219401,-91.53533172607422,5.103563192716592
91,45,0,-127.00792185465495,191.71836853027344,-96.04565938313802,4.486253600116666
94,46,1,-128.67855834960938,198.73460388183594,-100.27362823486328,4.962607556517761
97,48,0,-132.24444580078125,199.3179473876953,-104.16695404052734,5.119451392176554
100,49,1,-132.68273417154947,203.4227091471354,-107.8373311360677,4.851363263153938
103,51,0,-132.69644673665366,208.22933959960938,-111.13618723551433,4.739661404078607
106,52,1,-136.4825185139974,212.12040201822916,-114.326904296875,5.300399419996661
109,54,0,-135.21728515625,201.51931762695312,-117.2605209350586,4.932074068692156
112,55,1,-138.4652557373047,219.6153310139974,-120.05278015136719,4.1647412843403675
