step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.487545013427734,0.04558281973004341,171.45175170898438,4.1248476703347094
11,10,0,2.6902686595916747,12.770100831985474,159.22705078125,4.049534611412895
21,20,0,-21.594858169555664,33.540733337402344,147.3092803955078,4.418339880527096
31,30,0,-23.39572639465332,34.50995063781738,143.2381134033203,4.645026880802515
41,40,0,-24.236066627502442,36.167808532714844,140.98175048828125,4.696154384462312
51,50,0,-22.319925689697264,28.132104873657227,139.91256713867188,4.7370486355596935
61,60,0,-21.397167587280272,26.768705368041992,136.70793914794922,4.7116643437675485
71,70,0,-22.080729675292968,28.844294548034668,130.7352066040039,4.611449160376191
81,80,0,-25.120436096191405,38.25248718261719,123.55041885375977,4.744340120157293
91,90,0,-27.804167556762696,32.863118171691895,116.6483383178711,4.624362569957758
101,100,0,-32.38186683654785,49.15202522277832,108.43271255493164,4.463412796668649
111,110,0,-34.610711669921876,50.46296310424805,102.5867691040039,4.771773112733657
121,120,0,-37.033125686645505,46.215152740478516,95.86336898803711,4.667185437711117
131,130,0,-41.48260650634766,57.8621940612793,87.20951080322266,4.590126957868499
141,140,0,-45.363825988769534,65.8609390258789,79.33578872680664,4.627921075756024
151,150,0,-48.586111831665036,74.89461135864258,71.58723068237305,4.619704423958288
161,160,0,-51.713203811645506,73.71818161010742,64.90328979492188,4.744295372200643
171,170,0,-55.549744033813475,80.00857543945312,56.94330024719238,4.69463112829967
181,180,0,-58.7132022857666,96.1937484741211,49.04627990722656,4.559324692598182
191,190,0,-61.891079330444335,88.28276824951172,42.89188766479492,4.7443760718202705
201,200,0,-65.30275459289551,98.34048843383789,35.14372444152832,4.684232535067402
211,210,0,-69.25441055297851,102.28389739990234,27.43454074859619,4.830415714050266
221,220,0,-73.10598983764649,102.95568466186523,20.262324333190918,4.835984878628412
231,230,0,-75.55534744262695,114.68214797973633,12.358564853668213,4.575225355392167
241,240,0,-79.92531127929688,124.0658187866211,5.4351232051849365,4.718876017785432
251,250,0,-82.53348541259766,137.54317474365234,-0.5299125015735626,4.716715066805864
261,260,0,-83.98356552124024,131.6224594116211,-5.157512664794922,4.7965273341797925
271,270,0,-86.99767227172852,134.73399353027344,-10.216575622558594,4.6556870423856225
281,280,0,-88.96892547607422,122.89132308959961,-16.117895126342773,4.646553008146441
291,290,0,-92.43307876586914,145.3357391357422,-22.475563049316406,4.697671212197719
301,300,0,-94.64105682373047,139.81507110595703,-27.325210571289062,4.557289253547247
