step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.526087760925293,0.01829375885426998,4.284608364105225,1.5896880083535143
2,1,0,9.3811674118042,0.038165584206581116,4.175797939300537,1.6082169481010549
3,2,0,9.194122314453125,0.07470444589853287,4.037339687347412,1.6031121596545603
4,3,0,8.941373825073242,0.14772701263427734,3.8845860958099365,1.4744265081277692
5,4,0,8.560401916503906,0.26198676228523254,3.7291605472564697,1.3513498996683386
6,5,0,7.9794135093688965,0.4515056908130646,3.6035475730895996,1.2335151753262912
7,6,0,7.07919979095459,0.6483864188194275,3.5176374912261963,1.2415750284283347
8,7,0,6.093766212463379,0.7804775834083557,3.4822909832000732,1.2621929860645005
9,8,0,4.633241653442383,0.37017789483070374,3.457366943359375,1.29001480883014
10,9,0,4.12623929977417,-1.480343222618103,3.377589702606201,1.4872494197273376
11,10,0,3.5218987464904785,-4.0447564125061035,3.2368404865264893,1.558722459016052
12,11,0,2.8054707050323486,-6.481934070587158,3.0670647621154785,1.6141522838159783
13,12,0,2.265604019165039,-7.392587184906006,2.8846895694732666,1.7031261857102065
14,13,0,1.343160629272461,-6.355937957763672,2.724687337875366,1.726385394795057
15,14,0,-0.7728862762451172,-3.568523645401001,2.5721819400787354,1.740650738244989
