step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.535482406616211,0.01652439311146736,174.83213806152344,4.154439064900877
11,10,0,5.049311423301697,7.302992284297943,163.14069366455078,3.882648643524381
21,20,0,-13.332290649414062,22.762929916381836,152.68309020996094,4.389101576910251
31,30,0,-15.289604663848877,24.86747646331787,149.93009185791016,4.625679127605248
41,40,0,-14.212159824371337,22.154162406921387,148.27320098876953,4.7876542219619065
51,50,0,-13.151955032348633,20.88760757446289,145.16055297851562,4.604288006761271
61,60,0,-14.728932762145996,21.21963405609131,139.5038070678711,4.510176209751839
71,70,0,-18.0880464553833,29.927939414978027,132.5676727294922,4.705135047432478
81,80,0,-21.364390182495118,34.70339870452881,126.66795349121094,4.773032761684387
91,90,0,-23.384879302978515,34.28266716003418,121.1780891418457,4.616385575581531
