step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.487537384033203,0.014034374617040157,158.36453247070312,5.067869749780424
2,0,1,9.359617233276367,0.06172347068786621,151.41883850097656,4.675387520550759
3,0,2,9.172361373901367,0.16184905171394348,143.0708770751953,4.760684284158058
4,0,3,8.899555206298828,0.3569163680076599,133.80140686035156,4.840571534173206
5,0,4,8.463025093078613,0.7358800172805786,124.14427947998047,4.670548889637001
6,0,5,7.709878921508789,1.4750114679336548,114.43113708496094,4.574996652465732
7,0,6,6.439427375793457,2.8607141971588135,105.15140533447266,5.51113871801663
8,0,7,4.118271350860596,5.379499435424805,96.30924224853516,4.876216807195518
9,0,8,0.22268390655517578,9.7528076171875,87.97462463378906,5.315057673849012
10,0,9,-6.294552803039551,16.969829559326172,80.288818359375,4.928538970653906
11,0,10,-15.537029266357422,28.122482299804688,73.49720764160156,5.162099587629407
12,0,11,-26.600475311279297,43.633995056152344,67.95487213134766,4.682071206347159
13,0,12,-35.30115509033203,60.058082580566406,64.36744689941406,4.6819395755355515
14,0,13,-39.511539459228516,67.12110137939453,63.328975677490234,4.492879986609218
15,0,14,-34.5889892578125,59.37639617919922,64.39232635498047,5.031412376117611
16,0,15,-37.51322555541992,52.130001068115234,65.40530395507812,4.7816209859400285
17,0,16,-38.31404495239258,50.0048828125,65.05609130859375,5.302282916314818
18,0,17,-39.93641662597656,51.763633728027344,63.73634719848633,5.212778005067963
19,0,18,-39.731407165527344,54.102203369140625,62.18096160888672,5.292712634531524
20,0,19,-40.84870910644531,55.28306579589844,60.85796356201172,4.943422824774272
21,0,20,-41.5788688659668,55.183128356933594,59.72175216674805,5.561491766249211
22,0,21,-43.163360595703125,55.870567321777344,58.52317428588867,4.754481099583003
23,0,22,-42.94995880126953,56.25174331665039,57.129730224609375,5.127450632790239
24,0,23,-42.130409240722656,60.529991149902344,55.5037841796875,4.759982223913715
25,0,24,-43.91184616088867,65.42110443115234,53.958351135253906,5.062391464053453
26,0,25,-45.257083892822266,66.93772888183594,52.49269485473633,4.708763342706946
27,0,26,-47.13671875,71.12261962890625,50.60573959350586,4.991698524597732
28,0,27,-48.969322204589844,69.2470703125,48.75030517578125,4.67042859283006
29,0,28,-49.5193977355957,76.23966217041016,46.22206497192383,4.961302183099736
30,0,29,-49.669593811035156,63.941490173339844,44.40411376953125,5.157620629027841
31,0,30,-51.49304962158203,87.42308044433594,40.50154495239258,5.312422833224723
32,0,31,-51.65462112426758,66.39146423339844,39.19285202026367,4.798182885408362
33,0,32,-55.18072509765625,84.28655242919922,35.38630294799805,5.072294035446383
34,0,33,-54.42115783691406,72.85195922851562,33.035640716552734,4.895011489104004
35,0,34,-55.72091293334961,90.53492736816406,29.21855926513672,5.338541997590516
36,0,35,-60.047672271728516,86.4554214477539,27.202375411987305,5.2521515437060895
37,0,36,-60.16429901123047,83.2476806640625,24.992685317993164,5.222082426355827
38,0,37,-63.95581817626953,105.43128967285156,21.613101959228516,4.994469944644637
39,0,38,-60.61156463623047,66.7466049194336,21.11189079284668,4.904022420729312
40,0,39,-59.87171173095703,105.5064926147461,14.570561408996582,4.958811998963981
41,0,40,-67.78901672363281,100.6080551147461,11.437676429748535,4.887649340400906
42,0,41,-71.35816955566406,95.41856384277344,8.584973335266113,4.976476058584307
43,0,42,-73.62059020996094,115.79347229003906,4.743954658508301,5.056915839863074
44,0,43,-74.10604095458984,108.64710998535156,2.6908607482910156,5.133857988154132
45,0,44,-74.96636199951172,105.10160064697266,0.1261095106601715,5.481793189938699
46,0,45,-77.36366271972656,122.08419036865234,-3.4666779041290283,4.822524421823857
47,0,46,-78.22569274902344,103.53805541992188,-5.635373115539551,5.209840351707934
48,0,47,-79.93018341064453,130.30767822265625,-9.681986808776855,5.691923248678647
49,0,48,-80.38383483886719,106.88008880615234,-11.91801929473877,5.0325038376982185
50,0,49,-83.97491455078125,132.10800170898438,-15.856409072875977,4.657587630460401
51,0,50,-83.86618041992188,118.21592712402344,-18.294584274291992,4.770294487826455
52,0,51,-88.60466003417969,130.56484985351562,-21.513471603393555,4.9943036054795815
53,0,52,-87.13214874267578,137.2509307861328,-24.080060958862305,5.102674790306794
54,0,53,-89.69441223144531,128.82666015625,-26.205615997314453,5.689297547914645
55,0,54,-92.20767211914062,137.7376251220703,-28.90669822692871,4.956079843997748
56,0,55,-93.50442504882812,128.5482177734375,-31.234085083007812,4.914260428636779
