step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.488248825073242,3.9071545600891113,173.98646545410156,1.702590526599175
4,1,1,4697.1580810546875,556.6662139892578,-83.9332758585612,2.4084230485159535
7,3,0,3965.7096048990884,-72.46622721354167,-142.5894546508789,2.478650736558968
10,4,1,21823.83203125,117.68617757161458,-158.44135538736978,2.6915641675756827
13,6,0,25007.226888020832,-222.2264200846354,-158.8210703531901,2.4393982417607325
16,7,1,18243.95458984375,14.972757975260416,-154.51154073079428,2.3110394875302096
19,9,0,56374.009765625,-1270.2130126953125,-162.40624491373697,2.425395694238975
22,10,1,40025.800130208336,683.6700846354166,-162.75480143229166,2.532768047798558
25,12,0,33651.650716145836,-2072.693603515625,-162.92358907063803,2.522751910683232
28,13,1,49980.364095052086,-461.4468180338542,-163.071044921875,2.467097336381371
31,15,0,449986.6341145833,21830.029663085938,-162.91846211751303,2.728349024122579
34,16,1,19893381.5,122782.10546875,-86.07484563191731,2.3330488246901298
37,18,0,2323246826.6666665,-636454.3125,-110.0299784342448,2.5159766299654316
