step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.533357620239258,3.6140122413635254,43.474212646484375,3.0147412305453627
4,3,0,3412.1866614023843,801.4231033325195,-16.159477074940998,3.1996161514058894
7,6,0,35912.200622558594,200.64334869384766,34.1473642985026,3.5566152604025674
10,9,0,69568.1328125,-157.81812032063803,33.30488840738932,4.1136099147030984
13,12,0,58791.092447916664,116.38892841339111,35.344679514567055,4.031034450226152
16,15,0,973.0130208333334,-6.465590318044026,34.285481770833336,4.826575350074529
