step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.509173393249512,0.029864102602005005,166.39830017089844,4.156006804928662
11,10,0,4.305415773391724,8.762623131275177,154.3080291748047,4.234283282351621
21,20,0,-19.68923463821411,29.119705200195312,140.99349975585938,4.451340640904009
31,30,0,-22.830524826049803,34.660329818725586,136.4899444580078,4.409288852392228
41,40,0,-24.03008041381836,35.40402412414551,135.20685577392578,4.582511331462092
51,50,0,-20.110827732086182,35.090383529663086,134.65402221679688,4.604159862748363
61,60,0,-19.839185523986817,28.25010871887207,131.7959442138672,4.68082499182302
71,70,0,-22.745408630371095,30.045907020568848,125.52466201782227,4.643883931793775
81,80,0,-26.176422119140625,37.36550712585449,117.9839859008789,4.656961262968736
91,90,0,-29.54105701446533,40.45133399963379,111.34846115112305,4.514214340131369
101,100,0,-32.44539108276367,49.808937072753906,104.25230026245117,4.70242909640554
111,110,0,-35.527062225341794,53.45816612243652,97.9106559753418,4.706768182458367
121,120,0,-38.11875534057617,56.476430892944336,91.01272583007812,4.595522211212987
131,130,0,-42.40074348449707,59.00725746154785,83.1027717590332,4.684732451346312
