step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.500587463378906,0.019428780302405357,177.6800994873047,4.022392799083721
11,10,0,5.317221617698669,5.989511877298355,167.14784240722656,3.955628318075541
21,20,0,-13.33608274459839,21.495756149291992,155.78026580810547,4.377758875690693
31,30,0,-15.019058990478516,24.145204544067383,152.71995544433594,4.653251553294702
41,40,0,-13.436339378356934,20.281143188476562,152.16117095947266,4.571589836904083
51,50,0,-11.658272647857666,20.419569969177246,149.08422088623047,4.789962444894854
61,60,0,-12.752572727203368,20.841854095458984,144.36653900146484,4.793010919328847
71,70,0,-15.19619026184082,23.969879150390625,138.4420394897461,4.582299685086522
81,80,0,-18.9570592880249,27.63914680480957,131.85951232910156,4.708426696584751
91,90,0,-22.508047676086427,33.65189170837402,124.7518310546875,4.66682978318333
101,100,0,-25.39805965423584,30.61250877380371,117.34575653076172,4.70134611811352
111,110,0,-30.17065563201904,44.86907958984375,108.20065689086914,4.6123257031811615
121,120,0,-33.75760765075684,53.947505950927734,100.77651596069336,4.631028518374655
131,130,0,-37.04204788208008,54.23838233947754,94.53126907348633,4.51299880917986
