step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.522374153137207,3.714442491531372,45.086177825927734,4.789387970779483
4,3,0,813.0344365437826,283.5576162338257,-17.254729350407917,4.7662206068459945
7,6,0,23528.794921875,-1011.8641153971354,-34.91504096984863,3.7817074493576706
10,9,0,100553.21899414062,-262.5779215494792,-44.66433334350586,4.68825680113779
13,12,0,515087.1920572917,-5703.4836832682295,-44.82449595133463,5.760714536309574
16,15,0,178183.01041666666,-438.5091145833333,-44.87710444132487,5.0586433064814385
19,18,0,64328.244140625,-1171.9544677734375,-44.89532979329427,4.277977897357128
22,21,0,10589.528666178385,15.60400136311849,-44.90539423624674,4.259949170100228
25,24,0,469.4365743001302,207.60249837239584,-44.91011301676432,6.215446299848973
28,27,0,-0.7714284261067709,190.34928385416666,-44.91386795043945,6.11850938809021
31,30,0,-2.5745442708333335,195.20618184407553,-44.916117350260414,4.480498859463095
34,33,0,-35.50841776529948,204.1497344970703,-44.92002868652344,4.811406776859891
37,36,0,-43.803059895833336,208.35035705566406,-44.92252731323242,4.87822703642719
40,39,0,-44.1990966796875,210.016357421875,-44.924947102864586,4.591586067124548
43,42,0,-72.78956349690755,214.2474568684896,-44.92733637491862,5.104832513506227
46,45,0,-96.06593577067058,212.6246083577474,-44.92966079711914,6.098508768492999
49,48,0,-80.33281962076823,207.52882385253906,-44.93129857381185,3.5490961278189572
52,51,0,-89.18565114339192,208.53152974446616,-44.93402989705404,4.305628022483873
55,54,0,-91.28983815511067,211.22127278645834,-44.93547058105469,5.269723849433637
58,57,0,-98.33880869547527,212.149658203125,-44.936562856038414,4.337217074579101
61,60,0,-98.84284210205078,209.47802225748697,-44.93865839640299,5.963166323305228
64,63,0,-85.44358571370442,210.7850138346354,-44.940903981526695,3.9472332580524014
67,66,0,-95.29090118408203,213.57158915201822,-44.94154485066732,5.233348741201559
70,69,0,-97.89841206868489,214.47606404622397,-44.942626953125,5.011925135165603
73,72,0,-103.3729960123698,212.83548990885416,-44.943467458089195,5.940635922642525
76,75,0,-106.72153727213542,214.47200520833334,-44.94482676188151,5.453789751918433
79,78,0,-117.4087626139323,215.06787618001303,-44.94581604003906,4.573979858905392
82,81,0,-111.9490966796875,213.35198974609375,-44.94591776529948,4.233578096956243
85,84,0,-89.8072280883789,213.14864095052084,-44.94666544596354,5.9572738275678985
88,87,0,-106.22548166910808,219.95614624023438,-44.94689687093099,3.4438766950315762
91,90,0,-112.97139994303386,221.04640197753906,-44.947713216145836,4.770081503163188
94,93,0,-118.60811614990234,218.57799784342447,-44.94709396362305,4.893534129397454
97,96,0,-106.30897013346355,219.75141398111978,-44.94647471110026,4.86953934388833
100,99,0,-120.9636713663737,220.9525909423828,-44.945908864339195,4.434188951886145
103,102,0,-116.05092366536458,216.90181477864584,-44.94453684488932,4.148751846761838
106,105,0,-121.39378102620442,219.6624552408854,-44.94350941975912,4.489751354999528
109,108,0,-121.20176442464192,219.53992716471353,-44.94075266520182,4.893650005720839
112,111,0,-120.25938669840495,219.60836283365884,-44.93619283040365,4.801588519049145
115,114,0,-115.36806742350261,221.5139363606771,-44.93251164754232,4.350639299203039
118,117,0,-122.5315653483073,222.73983256022134,-44.9250742594401,5.833312734522963
121,120,0,-117.2551778157552,218.2095947265625,-44.913700103759766,5.021272522977534
124,123,0,-125.45547485351562,222.50526428222656,-44.89767328898112,5.08180755053622
127,126,0,-119.68664296468098,224.099853515625,-44.86711502075195,4.6497917458438645
130,129,0,-114.64755249023438,227.19131469726562,-44.803332010904946,4.731065814637947
133,132,0,-127.11711120605469,229.69393920898438,-44.623914082845054,3.9057064342757553
136,135,0,-129.25991821289062,221.27931213378906,-43.81764602661133,4.656652983241201
139,138,0,-88.05304463704427,183.1800282796224,-34.472541173299156,5.31053439960369
