step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.525528907775879,0.015502281486988068,178.53756713867188,4.21287318502238
11,0,10,5.8593382120132445,5.405928611755371,168.21924591064453,4.174398710225344
21,0,20,-17.847548294067384,23.15526580810547,154.91368103027344,4.720947512048916
31,0,30,-23.727646255493163,26.13630485534668,148.9287567138672,5.246013762700576
41,0,40,-26.794079971313476,26.07316303253174,144.76673126220703,4.888604396843013
51,0,50,-25.921598052978517,26.33758544921875,139.49655151367188,4.9256266923501775
61,1,2,-26.389648056030275,28.662578582763672,132.8699951171875,4.779570585576364
71,1,12,-28.281002044677734,31.001625061035156,124.94828414916992,4.9523338051602614
81,1,22,-32.66378879547119,39.157697677612305,116.08950424194336,5.000921327718068
91,1,32,-35.06401691436768,40.9526252746582,107.69889450073242,4.8849575896581285
101,1,42,-39.924231719970706,42.9624080657959,97.73141479492188,5.218769375860777
111,1,52,-45.27821578979492,51.54951477050781,87.05457305908203,4.827395058251972
121,2,4,-49.716047286987305,65.30597686767578,76.73175430297852,5.013240486211661
131,2,14,-53.826920700073245,73.02853393554688,68.34395599365234,5.183931642669199
141,2,24,-56.70490646362305,70.52990341186523,60.75283241271973,4.886408460778358
151,2,34,-60.60016708374023,85.00815200805664,51.48394584655762,4.993191751995855
161,2,44,-64.0783706665039,95.05694961547852,43.51900863647461,5.123341152346439
171,2,54,-67.43825454711914,92.31779861450195,36.91605567932129,5.422207636124391
181,3,6,-70.6644271850586,102.85696792602539,29.327567100524902,5.19347979979875
191,3,16,-74.7056655883789,107.31201171875,22.392325401306152,5.008425301006266
201,3,26,-76.42760772705078,99.72638320922852,15.137114524841309,5.032388453271047
211,3,36,-81.50403442382813,115.42720794677734,7.282018184661865,5.071006470255147
221,3,46,-84.12489776611328,101.03780746459961,-0.42151421308517456,4.980480567254123
231,3,56,-87.30911483764649,118.21229553222656,-9.019671440124512,5.118560558258006
241,4,8,-90.97421188354492,135.86605072021484,-16.450578212738037,4.796019807784825
251,4,18,-94.41107864379883,133.26001358032227,-21.86100482940674,4.906334744163398
261,4,28,-95.83032836914063,150.21652221679688,-27.972623825073242,4.927363525139366
271,4,38,-98.55466156005859,146.8554916381836,-32.80900955200195,5.0035280598179455
281,4,48,-100.98696517944336,147.6349639892578,-37.67254066467285,5.232973454528981
291,5,0,-102.1729751586914,153.03204345703125,-41.8011531829834,5.476848238407157
301,5,10,-104.85966262817382,149.98829650878906,-47.01103210449219,4.959473549506611
311,5,20,-106.84004440307618,161.31541442871094,-51.185800552368164,4.939314054015007
321,5,30,-107.09183044433594,160.0659942626953,-54.610694885253906,4.865577060052526
