step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.538908958435059,0.01875210553407669,178.89122009277344,4.657005629729511
4,1,1,9.183027585347494,0.2140036274989446,159.86249796549478,4.335336711038525
7,3,0,7.371827284495036,1.8822616934776306,127.16438802083333,4.6220751087649345
10,4,1,-1.6742722193400066,11.208754698435465,100.6986312866211,5.356733048038284
13,6,0,-25.91114107767741,40.643275578816734,82.8835932413737,4.883537087841721
16,7,1,-32.246236165364586,47.564657847086586,79.0485356648763,4.926306673606463
19,9,0,-32.59180704752604,44.77492014567057,79.0365702311198,5.475617018922994
22,10,1,-32.23652648925781,49.23382695515951,78.09255472819011,5.373515852397286
25,12,0,-33.63135274251302,50.704794565836586,76.77572886149089,5.072936382521103
28,13,1,-35.84001159667969,54.16308085123698,71.37034352620442,4.862489867773262
31,15,0,-40.518157958984375,59.52137756347656,63.86060460408529,4.671378162137257
