step,epoch,batch_idx,D_loss,G_loss,T_loss,Wasserstein_dist
1,0,0,9.527204513549805,4.737790584564209,180.89395141601562,1.8192763746858955
4,1,1,203.4240606625875,3472.506129105886,-115.01723098754883,2.4849082355230867
7,3,0,108813.00245157878,-137.75223795572916,-159.95781962076822,2.432090014647451
10,4,1,18132.58056640625,-989.6538798014323,-176.53121948242188,2.4919852437495043
13,6,0,29779.623372395832,4610.652262369792,-178.47362772623697,2.4952736516625813
16,7,1,222780.59212239584,-276.3139171600342,-177.82374064127603,2.543437940948812
19,9,0,268570.35758463544,6971.871571858724,-131.99658203125,2.479568522931926
22,10,1,6327597.567708333,-7479.076894124349,3.011610825856527,2.4658674422698517
25,12,0,395859620.0208333,80812.4873046875,-45.285099029541016,2.4403488509025597
28,13,1,450720317.3333333,105948.67447916667,-73.47762298583984,2.4674609960033256
